source,target,done,0.759574071
Trade LAK/ATL 6/27/2009,Jean-Francois Berube,a,
Trade LAK/ATL 6/27/2009,Edward Pasquale,a,
Trade LAK/ATL 6/27/2009,Jordan Samuels-Thomas,a,
Trade LAK/BOS 7/8/2022,Casper Nassen,x,
Trade LAK/BOS 7/8/2022,Kaleb Lawrence,a,
Trade LAK/BUF 3/5/2014,Hudson Fasching,a,
Trade LAK/BUF 3/5/2014,Nicolas Deslauriers,a,
Trade LAK/BUF 3/5/2014,Erik Cernak,a,
Trade LAK/BUF 3/5/2014,Brayden McNabb,a,
Trade LAK/BUF 3/5/2014,Alex Lintuniemi,a,
Trade LAK/BUF 3/5/2014,Jonathan Parker,a,
Trade LAK/BUF 4/1/2013,Erik Cernak,a,
Trade LAK/BUF 4/1/2013,Robyn Regehr,a,
Trade LAK/BUF 4/1/2013,Alex Lintuniemi,a,
Trade LAK/BUF 6/20/2008,Tyler Myers,a,
Trade LAK/BUF 6/20/2008,Ryan Howse,a,
Trade LAK/BUF 6/20/2008,Colten Teubert,a,
Trade LAK/CAR 2/25/2015,Julien Gauthier,a,
Trade LAK/CAR 2/25/2015,Roland McKeown,a,
Trade LAK/CAR 2/25/2015,Andrej Sekera,a,
Trade LAK/CAR 3/4/2009,Brian Dumoulin,x,
Trade LAK/CAR 3/4/2009,Patrick O'Sullivan,a,
Trade LAK/CAR 3/4/2009,Justin Williams,a,
Trade LAK/CAR 7/24/2021,Jackson Blake,a,
Trade LAK/CAR 7/24/2021,Samuel Helenius,a,
Trade LAK/CAR 7/24/2021,Anton Olsson,a,
Trade LAK/CGY 6/20/2008,Brian Dumoulin,x,
Trade LAK/CGY 6/20/2008,Mitch Wahl,a,
Trade LAK/CGY 6/20/2008,Jake Gardiner,a,
Trade LAK/CGY 6/20/2008,Michael Cammalleri,a,
Trade LAK/CHI 1/24/2019,Dominik Kubalik,a,
Trade LAK/CHI 1/24/2019,Frederick Dichow,x,
Trade LAK/COL 2/21/2001,Steven Reinprecht,x,
Trade LAK/COL 2/21/2001,Rob Blake,x,
Trade LAK/COL 2/21/2001,Brian Boyle,x,
Trade LAK/COL 2/21/2001,Jared Aulin,a,
Trade LAK/COL 2/21/2001,David Steckel,x,
Trade LAK/COL 2/21/2001,Adam Deadmarsh,x,
Trade LAK/COL 2/21/2001,Aaron Miller,x,
Trade LAK/COL 6/26/2010,Calvin Pickard,a,
Trade LAK/COL 6/26/2010,Tyler Toffoli,a,
Trade LAK/COL 6/26/2010,Alex Theriau,a,
Trade LAK/DET 10/7/2020,Brock Faber,x,
Trade LAK/DET 10/7/2020,Sam Stange,a,
Trade LAK/DET 10/7/2020,Theodor Niederbach,a,
Trade LAK/DET 2/26/2008,Ben Chiarot,a,
Trade LAK/DET 2/26/2008,Brad Stuart,a,
Trade LAK/EDM 6/30/2013,William Carrier,a,
Trade LAK/EDM 6/30/2013,Valentin Zykov,a,
Trade LAK/EDM 6/30/2013,Anton Slepyshev,a,
Trade LAK/EDM 6/30/2013,Kyle Platzer,a,
Trade LAK/FLA 6/25/2010,Jason Zucker,a,
Trade LAK/FLA 6/25/2010,Nick Bjugstad,a,
Trade LAK/FLA 6/25/2010,Derek Forbort,a,
Trade LAK/MIN 2/29/2016,Scott Sabourin,a,
Trade LAK/MIN 2/29/2016,Brett Sutter,a,
Trade LAK/MTL 2/11/2019,Nate Thompson,a,
Trade LAK/MTL 2/11/2019,Frederick Dichow,x,
Trade LAK/MTL 2/11/2019,Kim Nousiainen,a,
Trade LAK/NSH 6/25/2011,Jimmy Vesey,x,
Trade LAK/NSH 6/25/2011,Nick Shore,a,
Trade LAK/NSH 6/25/2011,Chase Balisy,a,
Trade LAK/NSH 7/1/2021,Scott Morrow b.2002,a,
Trade LAK/NSH 7/1/2021,Viktor Arvidsson,a,
Trade LAK/NSH 7/1/2021,Kasper Kulonummi,a,
Trade LAK/NYI 6/24/2017,Arnaud Durandeau,x,
Trade LAK/NYI 6/24/2017,Johan Sodergran,a,
Trade LAK/NYR 10/7/2020,Will Cuylle,s,
Trade LAK/NYR 10/7/2020,Lias Andersson,a,
Trade LAK/NYR 6/27/2009,Brian Boyle,x,
Trade LAK/NYR 6/27/2009,Jordan Weal,x,
Trade LAK/OTT 6/28/2025,Jordan Spence,a,
Trade LAK/OTT 6/28/2025,Kurban Limatov,a,
Trade LAK/OTT 6/28/2025,2026 6tth Round (LAK/OTT),a,
Trade LAK/PHI/CBJ 6/6/2023,Hayden Hodgson,x,
Trade LAK/PHI/CBJ 6/6/2023,Helge Grans,x,
Trade LAK/PHI/CBJ 6/6/2023,Ivan Provorov,x,
Trade LAK/PHI/CBJ 6/6/2023,Eric Nilson,x,
Trade LAK/PHI/CBJ 6/6/2023,Jesse Pulkkinen,x,
Trade LAK/PHI/CBJ 6/6/2023,Kevin Connauton,x,
Trade LAK/PHI/CBJ 6/6/2023,Oliver Bonk,x,
Trade LAK/PHI/CBJ 6/6/2023,Sean Walker,x,
Trade LAK/PIT 11/14/2018,Tanner Pearson,x,
Trade LAK/PIT 11/14/2018,Carl Hagelin,x,
Trade LAK/SJS 6/27/2024,Kyle Burroughs,a,
Trade LAK/SJS 6/27/2024,Carl Grundstrom,a,
Trade LAK/TBL 2/26/2017,Erik Cernak,a,
Trade LAK/TBL 2/26/2017,Peter Budaj,a,
Trade LAK/TBL 2/26/2017,Wyatt Kalynuk,a,
Trade LAK/TBL 2/26/2017,Drake Rymsha,a,
Trade LAK/TBL 2/26/2017,Ben Bishop,a,
Trade LAK/TBL 7/8/2022,Kenny Connors,x,
Trade LAK/TBL 7/8/2022,Jared Wright,a,
Trade LAK/TBL 7/8/2022,Lucas Edmonds,x,
Trade LAK/TOR 1/28/2019,Tobias Bjornfot,a,
Trade LAK/TOR 1/28/2019,Carl Grundstrom,a,
Trade LAK/TOR 1/28/2019,Sean Durzi,a,
Trade LAK/TOR 1/28/2019,Jake Muzzin,a,
Trade LAK/TOR 2/5/2020,Jack Campbell,a,
Trade LAK/TOR 2/5/2020,Alex Laferriere,x,
Trade LAK/TOR 2/5/2020,Trevor Moore,a,
Trade LAK/TOR 2/5/2020,Kyle Clifford,a,
Trade LAK/TOR 2/5/2020,Cameron Whynot,a,
Trade LAK/VAN 12/7/2017,Nic Dowd,a,
Trade LAK/VAN 12/7/2017,Jordan Subban,a,
Trade LAK/VAN 2/17/2020,Tyler Toffoli,a,
Trade LAK/VAN 2/17/2020,Tyler Madden,a,
Trade LAK/VAN 2/17/2020,Tim Schaller,a,
Trade LAK/VAN 2/17/2020,Theodor Niederbach,a,
Trade LAK/VGK 2/19/2020,Alec Martinez,a,
Trade LAK/VGK 2/19/2020,Will Cuylle,a,
Trade LAK/VGK 2/19/2020,Ben Roger,a,
Trade LAK/WSH 2/21/2019,Carl Hagelin,x,
Trade LAK/WSH 2/21/2019,Lukas Parik,a,
Trade LAK/WSH 6/24/2019,Darcy Kuemper,a,
Trade LAK/WSH 6/24/2019,Pierre-Luc Dubois,a,
Trade MIN/ANA 3/19/2022,Yegor Sidorov,x,
Trade MIN/ANA 3/19/2022,Nicolas Deslauriers,a,
Trade MIN/ARI 2/26/2017,Kevin Bahl,x,
Trade MIN/ARI 2/26/2017,Mason Shaw,a,
Trade MIN/ARI 2/26/2017,PO Joseph,a,
Trade MIN/ARI 2/26/2017,Ryan White,a,
Trade MIN/ARI 2/26/2017,Martin Hanzal,a,
Trade MIN/ARI 2/26/2017,Eric Hjorth,a,
Trade MIN/ARI 2/26/2017,Grayson Downing,a,
Trade MIN/ARI 3/20/2022,Jack McBain,a,
Trade MIN/ARI 3/20/2022,Hunter Haight,a,
Trade MIN/BOS 2/20/2019,Charlie Coyle,x,
Trade MIN/BOS 2/20/2019,Ryan Donato,a,
Trade MIN/BOS 2/20/2019,Cade Webber,a,
Trade MIN/BOS 3/6/2025,Justin Brazeau,x,
Trade MIN/BOS 3/6/2025,Jakub Lauko,A,
Trade MIN/BOS 3/6/2025,Marat Khusnutdinov,a,
Trade MIN/BOS 3/6/2025,2026 6th Round (MIN/BOS),x,
Trade MIN/BOS 6/27/2015,Kirill Kaprizov,a,
Trade MIN/BOS 6/27/2015,Cameron Clarke,a,
Trade MIN/BUF 3/2/2015,Ukko-Pekka Luukkonen,a,
Trade MIN/BUF 3/2/2015,Chris Stewart,a,
Trade MIN/BUF 3/3/2023,Jordan Greenway,a,
Trade MIN/BUF 3/3/2023,Sebastian Soini,a,
Trade MIN/BUF 3/3/2023,Riley Heidt,a,
Trade MIN/BUF 3/5/2014,Vitek Vanecek,a,
Trade MIN/BUF 3/5/2014,Torrey Mitchell,a,
Trade MIN/BUF 3/5/2014,Matt Moulson,a,
Trade MIN/BUF 3/5/2014,Cody McCormick,a,
Trade MIN/BUF 3/5/2014,Chad Krys,a,
Trade MIN/BUF 6/30/2017,Marcus Foligno,a,
Trade MIN/BUF 6/30/2017,Tyler Ennis,a,
Trade MIN/BUF 6/30/2017,Marco Scandella,a,
Trade MIN/BUF 6/30/2017,Jack McBain,a,
Trade MIN/BUF 6/30/2017,Jason Pominville,a,
Trade MIN/BUF 6/30/2017,Linus Lindstrand Cronholm,a,
Trade MIN/CHI 2/12/2010,Nick Leddy,a,
Trade MIN/CHI 2/12/2010,Cam Barker,a,
Trade MIN/CHI 2/12/2010,Kim Johnsson,a,
Trade MIN/DET 3/3/2023,Oskar Sundqvist,a,
Trade MIN/DET 3/3/2023,Larry Keenan b.2005,a,
Trade MIN/EDM 3/4/2014,William Lagesson,a,
Trade MIN/EDM 3/4/2014,Ilya Bryzgalov,a,
Trade MIN/EDM 7/23/2021,Jesper Wallstedt,a,
Trade MIN/EDM 7/23/2021,Xavier Bourgault,a,
Trade MIN/EDM 7/23/2021,Luca Munzenberger,a,
Trade MIN/FLA 2/24/2015,Rem Pitlick,x,
Trade MIN/FLA 2/24/2015,Sean Bergenheim,x,
Trade MIN/FLA 2/24/2015,Brayden Chizen,x,
Trade MIN/LAK 6/29/2022,Kevin Fiala,x,
Trade MIN/LAK 6/29/2022,Brock Faber,x,
Trade MIN/LAK 6/29/2022,Liam Ohgren,x,
Trade MIN/MTL 2/26/2018,Mike Reilly,a,
Trade MIN/MTL 2/26/2018,Matvey Guskov,a,
Trade MIN/NJD 6/21/2024,Adam Beckman,a,
Trade MIN/NJD 6/21/2024,Graeme Clarke,a,
Trade MIN/NSH 2/25/2019,Mikael Granlund,x,
Trade MIN/NSH 2/25/2019,Kevin Fiala,x,
Trade MIN/NSH 3/1/2025,Gustav Nyquist,a,
Trade MIN/NSH 3/1/2025,2026 2nd Round (MIN/NSH),a,
Trade MIN/NYI 6/26/2009,Calvin de Haan,a,
Trade MIN/NYI 6/26/2009,Nick Leddy,a,
Trade MIN/NYI 6/26/2009,Erik Haula,a,
Trade MIN/NYI 6/26/2009,Matt Hackett,a,
Trade MIN/PHI 6/27/2011,Jake Guentzel,a,
Trade MIN/PHI 6/27/2011,Darroll Powe,a,
Trade MIN/PHI 6/28/2024,Jett Luchanko,a,
Trade MIN/PHI 6/28/2024,Zeev Buium,a,
Trade MIN/PHI 6/28/2024,Gabriel D'Aigle,a,
Trade MIN/SJS 3/21/2022,Kaapo Kahkonen,a,
Trade MIN/SJS 3/21/2022,Jake Middleton,a,
Trade MIN/SJS 3/21/2022,Jake Furlong,a,
Trade MIN/SJS 6/24/2011,Brent Burns,a,
Trade MIN/SJS 6/24/2011,Pontus Aberg,a,
Trade MIN/SJS 6/24/2011,Devin Setoguchi,a,
Trade MIN/SJS 6/24/2011,Charlie Coyle,x,
Trade MIN/SJS 6/24/2011,Zack Phillips,x,
Trade MIN/TOR 3/8/2024,Connor Dewar,a,
Trade MIN/TOR 3/8/2024,Dmitry Ovchinnikov,a,
Trade MIN/TOR 3/8/2024,2026 4th Round (MIN/TOR),a,
Trade MIN/VGK 6/21/2017,Alex Tuch,a,
Trade MIN/VGK 6/21/2017,Connor Dewar,a,
Trade MIN/VGK 6/21/2017,Mathew Dumba,a,
Trade MIN/VGK 6/21/2017,Marco Scandella,a,
Trade MIN/WSH 2/28/2023,Marcus Johansson,a,
Trade MIN/WSH 2/28/2023,Logan Sawyer,a,
Trade MTL/ANA 3/7/2024,Jan Mysak,x,
Trade MTL/ANA 3/7/2024,Jacob Perreault,a,
Trade MTL/ANA 6/30/2019,Nicolas Deslauriers,a,
Trade MTL/ANA 6/30/2019,Brandon Coe,a,
Trade MTL/ANA 7/24/2021,Tyson Hinds,x,
Trade MTL/ANA 7/24/2021,Vinzenz Rohrer,a,
Trade MTL/ARI 2/25/2019,Michael Chaput,a,
Trade MTL/ARI 2/25/2019,Jordan Weal,x,
Trade MTL/BOS 6/28/2025,Benjamin Rautiainen,x,
Trade MTL/BOS 6/28/2025,Cooper Simpson,x,
Trade MTL/BOS 6/28/2025,Hayden Paupanekis,x,
Trade MTL/BUF 3/26/2021,Viljami Marjala,a,
Trade MTL/BUF 3/26/2021,Eric Staal,x,
Trade MTL/BUF 3/26/2021,Josh Bloom,a,
Trade MTL/CAR 6/28/2025,Alexander Zharovsky,x,
Trade MTL/CAR 6/28/2025,Semyon Frolov,x,
Trade MTL/CAR 6/28/2025,Charlie Cerrato,x,
Trade MTL/CAR 6/28/2025,Andrew MacNiel,x,
Trade MTL/CAR 9/4/2021,Jesperi Kotkaniemi,a,
Trade MTL/CAR 9/4/2021,Filip Bystedt,a,
Trade MTL/CAR 9/4/2021,Adam Engstrom,a,
Trade MTL/CGY 2/14/2002,Emil Heineman,a,
Trade MTL/CGY 2/14/2002,Tyler Toffoli,a,
Trade MTL/CGY 2/14/2002,Filip Mesar,a,
Trade MTL/CGY 2/14/2002,Tyler Pitlick,a,
Trade MTL/CGY 2/14/2002,Yevgeni Volokhin,a,
Trade MTL/CHI 10/7/2020,Louis Crevier,a,
Trade MTL/CHI 10/7/2020,Sam Lipkin,a,
Trade MTL/CHI 6/24/2016,Alex DeBrincat,a,
Trade MTL/CHI 6/24/2016,Andrew Shaw,a,
Trade MTL/CHI 6/24/2016,Chad Krys,a,
Trade MTL/COL 3/21/2022,Artturi Lehkonen,a,
Trade MTL/COL 3/21/2022,Justin Barron,a,
Trade MTL/COL 3/21/2022,Carter George,a,
Trade MTL/COL 6/27/2023,Alex Newhook,a,
Trade MTL/COL 6/27/2023,Mikhail Gulyayev,a,
Trade MTL/COL 6/27/2023,Ethan Gauthier,a,
Trade MTL/COL 6/27/2023,Gianni Fairbrother,a,
Trade MTL/DAL 2/26/2023,Evgenii Dadonov,a,
Trade MTL/DAL 2/26/2023,Denis Gurianov,a,
Trade MTL/DET 8/15/2023,Benjamin Rautiainen,x,
Trade MTL/DET 8/15/2023,Gustav Lindstrom,x,
Trade MTL/DET 8/15/2023,Jeff Petry,x,
Trade MTL/EDM 3/2/2015,Caleb Jones,x,
Trade MTL/EDM 3/2/2015,Jeff Petry,x,
Trade MTL/EDM 3/2/2015,Jonas Siegenthaler,x,
Trade MTL/EDM 6/23/2018,Jordan Harris,a,
Trade MTL/EDM 6/23/2018,Olivier Rodrigue,a,
Trade MTL/EDM 6/23/2018,Samuel Houde,a,
Trade MTL/FLA 3/16/2022,Ben Chiarot,a,
Trade MTL/FLA 3/16/2022,Ty Smilanic,a,
Trade MTL/FLA 3/16/2022,Mikhail Gulyayev,a,
Trade MTL/FLA 3/16/2022,Cedrick Guindon,a,
Trade MTL/FLA 6/30/2013,MacKenzie Weegar,a,
Trade MTL/FLA 6/30/2013,Hugo Fagerblom,a,
Trade MTL/LAK 3/3/2023,Frederic Allard,a,
Trade MTL/LAK 3/3/2023,Nate Schnarr,x,
Trade MTL/LAK 6/22/2019,Samuel Fagemo,a,
Trade MTL/LAK 6/22/2019,Mattias Norlinder,a,
Trade MTL/LAK 6/22/2019,Jacob LeGuerrier,a,
Trade MTL/MIN 7/24/2021,Joshua Roy,a,
Trade MTL/MIN 7/24/2021,Joe Vrbetic,a,
Trade MTL/MIN 7/24/2021,Josh Pillar,a,
Trade MTL/NJD 3/11/2024,Nathan Legare,x,
Trade MTL/NJD 3/11/2024,Arnaud Durandeau,x,
Trade MTL/NJD 3/21/2022,Andrew Hammond,a,
Trade MTL/NJD 3/21/2022,Nate Schnarr,x,
Trade MTL/NJD 3/8/2024,Jake Allen,a,
Trade MTL/NJD 3/8/2024,Arseni Radkov,a,
Trade MTL/NJD 6/30/2024,Johnathan Kovacevic,a,
Trade MTL/NJD 6/30/2024,2026 4th Round (MTL/NJD),a,
Trade MTL/NSH 1/7/2020,Michael McCarron,a,
Trade MTL/NSH 1/7/2020,Laurent Dauphin,a,
Trade MTL/NSH 12/18/2024,Alexandre Carrier,a,
Trade MTL/NSH 12/18/2024,Justin Barron,a,
Trade MTL/NSH 6/29/2016,Shea Weber,x,
Trade MTL/NSH 6/29/2016,PK Subban,a,
Trade MTL/NYI 6/27/2025,Noah Dobson,a,
Trade MTL/NYI 6/27/2025,Victor Eklund,a,
Trade MTL/NYI 6/27/2025,Kashawn Aitcheson,a,
Trade MTL/NYI 6/27/2025,Emil Heineman,a,
Trade MTL/NYR 6/20/2009,Ryan McDonagh,a,
Trade MTL/NYR 6/20/2009,Tom Pyatt,x,
Trade MTL/NYR 6/20/2009,Scott Gomez,a,
Trade MTL/NYR 6/20/2009,Pavel Valentenko,a,
Trade MTL/NYR 6/20/2009,Chris Higgins,a,
Trade MTL/NYR 6/20/2009,Michael Busto,a,
Trade MTL/NYR 6/20/2009,Doug Janik,a,
Trade MTL/NYR 7/30/2005,Marc-Andre Cliche,x,
Trade MTL/NYR 7/30/2005,Guillaume Latendresse,a,
Trade MTL/NYR 7/30/2005,Brodie Dupont,a,
Trade MTL/OTT 1/2/2020,Mike Reilly,a,
Trade MTL/OTT 1/2/2020,Jack Bar,a,
Trade MTL/OTT 1/2/2020,Andrew Sturtz,a,
Trade MTL/PHI 2/9/2019,Byron Froese,x,
Trade MTL/PHI 2/9/2019,Christian Folin,a,
Trade MTL/PHI 2/9/2019,Dale Weise,a,
Trade MTL/PHI 2/9/2019,David Schlemko,a,
Trade MTL/PHX 6/28/2014,Michael Bunting,a,
Trade MTL/PHX 6/28/2014,Brett Lernout,a,
Trade MTL/PHX 6/28/2014,Anton Karlsson,a,
Trade MTL/PIT 2/20/2020,Jake Lucchini,a,
Trade MTL/PIT 2/20/2020,Riley Barber,a,
Trade MTL/PIT 2/20/2020,Phil Varone,a,
Trade MTL/PIT 2/20/2020,Joseph Blandisi,a,
Trade MTL/PIT 7/16/2022,Bogdan Konyushkov,x,
Trade MTL/PIT 7/16/2022,Jeff Petry,x,
Trade MTL/PIT 7/16/2022,Mike Matheson,x,
Trade MTL/PIT 7/16/2022,Ryan Poehling,x,
Trade MTL/SJS 6/23/2018,Mikael Hakkarainen,x,
Trade MTL/SJS 6/23/2018,Jack Gorniak,x,
Trade MTL/SJS 6/23/2018,Jasper Weatherby,a,
Trade MTL/STL 7/1/2025,Zachary Bolduc,a,
Trade MTL/STL 7/1/2025,Logan Mailloux,a,
Trade MTL/TBL 1/26/2017,Cole Guttman,a,
Trade MTL/TBL 1/26/2017,Nikita Nesterov,a,
Trade MTL/TBL 1/26/2017,Jonathan Racine,a,
Trade MTL/TBL 10/7/2020,Oliver Kapanen,a,
Trade MTL/TBL 10/7/2020,Jack Finley,a,
Trade MTL/TBL 10/7/2020,Sean Farrell,a,
Trade MTL/TBL 6/15/2017,Jonathan Drouin,a,
Trade MTL/TBL 6/15/2017,Mikhail Sergachev,a,
Trade MTL/VAN 9/19/2023,Casey DeSmith,x,
Trade MTL/VAN 9/19/2023,Tanner Pearson,x,
Trade MTL/VAN 9/19/2023,Cooper Simpson,x,
Trade MTL/VGK 2/24/2020,Nick Cousins,a,
Trade MTL/VGK 2/24/2020,Dylan Duke,a,
Trade MTL/VGK 9/10/2018,Tomas Tatar,a,
Trade MTL/VGK 9/10/2018,Samuel Fagemo,a,
Trade MTL/VGK 9/10/2018,Nick Suzuki,x,
Trade MTL/VGK 9/10/2018,Max Pacioretty,a,
Trade MTL/WPG 9/20/2012,Eric Comrie,a,
Trade MTL/WPG 9/20/2012,Daultan Leveille,a,
Trade MTL/WSH 7/1/2023,Joel Edmundson,a,
Trade MTL/WSH 7/1/2023,Makar Khanin,a,
Trade MTL/WSH 7/1/2023,Logan Sawyer,a,
Trade NJ/SJS 7/2/2025,Thomas Bordeleau,a,
Trade NJ/SJS 7/2/2025,Shane Bowers,a,
Trade NJD/ANA 11/30/2017,Adam Henrique,a,
Trade NJD/ANA 11/30/2017,Daniil Misyul,a,
Trade NJD/ANA 11/30/2017,Sami Vatanen,a,
Trade NJD/ANA 11/30/2017,Joseph Blandisi,a,
Trade NJD/ANA 11/30/2017,Blake McLaughlin,a,
Trade NJD/ANA 12/12/2011,Jaycob Megna,a,
Trade NJD/ANA 12/12/2011,Timo Pielmeier,a,
Trade NJD/ANA 12/12/2011,Rod Pelley,a,
Trade NJD/ANA 12/12/2011,Kurtis Foster,a,
Trade NJD/ANA 12/12/2011,Mark Fraser,a,
Trade NJD/ANA 3/6/2025,Brian Dumoulin,x,
Trade NJD/ANA 3/6/2025,Herman Traff,a,
Trade NJD/ANA 3/6/2025,Lasse Boelius,a,
Trade NJD/ANA 6/26/2015,Rem Pitlick,x,
Trade NJD/ANA 6/26/2015,Kyle Palmieri,x,
Trade NJD/ANA 6/26/2015,Ryan Gropp,x,
Trade NJD/ARI 10/28/2017,Scott Wedgewood,a,
Trade NJD/ARI 10/28/2017,Akira Schmid,a,
Trade NJD/ATL 2/4/2010,Justin Holl,a,
Trade NJD/ATL 2/4/2010,Jon Merrill,a,
Trade NJD/ATL 2/4/2010,Kevin Hayes,a,
Trade NJD/ATL 2/4/2010,Patrice Cormier,a,
Trade NJD/ATL 2/4/2010,Niclas Bergfors,a,
Trade NJD/ATL 2/4/2010,Ilya Kovalchuk,a,
Trade NJD/ATL 2/4/2010,Johnny Oduya,a,
Trade NJD/ATL 2/4/2010,Anssi Salmela,a,
Trade NJD/BOS 7/13/2022,Pavel Zacha,x,
Trade NJD/BOS 7/13/2022,Erik Haula,a,
Trade NJD/BOS/EDM 3/4/2025,Trent Frederic,x,
Trade NJD/BOS/EDM 3/4/2025,Max Jones,x,
Trade NJD/BOS/EDM 3/4/2025,Shane Lachance,a,
Trade NJD/BOS/EDM 3/4/2025,Petr Hauser,a,
Trade NJD/BOS/EDM 3/4/2025,Max Wanner,a,
Trade NJD/BOS/EDM 3/4/2025,William Moore,a,
Trade NJD/BOS/EDM 3/4/2025,2026 4th Round (NJD/BOS/EDM),a,
Trade NJD/CAR 1/20/2012,Jaccob Slavin,a,
Trade NJD/CAR 1/20/2012,Alexei Ponikarovsky,a,
Trade NJD/CAR 1/20/2012,Joe Sova,a,
Trade NJD/CGY 6/26/2009,Nicolas Deslauriers,a,
Trade NJD/CGY 6/26/2009,Tim Erixon,a,
Trade NJD/CGY 6/26/2009,Jacob Josefson,,
Trade NJD/COL 2/29/2016,Fabian Zetterlund,x,
Trade NJD/COL 2/29/2016,Eric Gelinas,,
Trade NJD/EDM 4/12/2021,Dmitry Kulikov,a,
Trade NJD/EDM 4/12/2021,Charles Leddy,a,
Trade NJD/EDM 6/29/2016,Taylor Hall,,
Trade NJD/EDM 6/29/2016,Adam Larsson,a,
Trade NJD/FLA 6/10/2016,Martin Fehervary,a,
Trade NJD/FLA 6/10/2016,Paul Thompson b.1988,a,
Trade NJD/FLA 6/10/2016,Marc Savard,a,
Trade NJD/FLA 6/10/2016,Graham Black,,
Trade NJD/NSH 2/6/2019,Brian Boyle,x,
Trade NJD/NSH 2/6/2019,Dillon Hamaliuk,x,
Trade NJD/NSH 6/2/2019,Marat Khusnutdinov,a,
Trade NJD/NSH 6/2/2019,Bobby Brink,a,
Trade NJD/NSH 6/2/2019,Steven Santini,a,
Trade NJD/NSH 6/2/2019,PK Subban,a,
Trade NJD/NSH 6/2/2019,Jeremy Davies,a,
Trade NJD/NYI 11/26/2023,Arnaud Durandeau,x,
Trade NJD/NYI 11/26/2023,Tyce Thompson,a,
Trade NJD/NYI 3/7/2025,Adam Beckman,a,
Trade NJD/NYI 3/7/2025,Dennis Cholowski,a,
Trade NJD/NYI 4/7/2021,Mason Jobst,,
Trade NJD/NYI 4/7/2021,AJ Greer,a,
Trade NJD/NYI 4/7/2021,Kyle Palmieri,x,
Trade NJD/NYI 4/7/2021,Chase Stillman,a,
Trade NJD/NYI 4/7/2021,Travis Zajac,,
Trade NJD/NYI 4/7/2021,Daniil Orlov,a,
Trade NJD/NYR 2/22/2018,Michael Grabner,x,
Trade NJD/NYR 2/22/2018,Yegor Rykov,,
Trade NJD/NYR 2/22/2018,Jonathan Tychonick,,
Trade NJD/OTT 6/27/2015,Gabriel Gagne,,
Trade NJD/OTT 6/27/2015,Mackenzie Blackwood,a,
Trade NJD/OTT 6/27/2015,Joey Anderson,a,
Trade NJD/PHX 6/30/2013,Steven Santini,a,
Trade NJD/PHX 6/30/2013,Laurent Dauphin,a,
Trade NJD/PHX 6/30/2013,Ryan Kujawinski,,
Trade NJD/PIT 7/16/2022,Ty Smith,,
Trade NJD/PIT 7/16/2022,John Marino,a,
Trade NJD/PIT 7/16/2022,Drew Fortescue,a,
Trade NJD/SJS 10/1/2006,David Perron,a,
Trade NJD/SJS 10/1/2006,Vladimir Malakhov,,
Trade NJD/SJS 10/1/2006,Jim Fahey,a,
Trade NJD/SJS 10/1/2006,Alexander Korolyuk,a,
Trade NJD/SJS 2/26/2023,Adam Kleber,x,
Trade NJD/SJS 2/26/2023,Zachary Emond,x,
Trade NJD/SJS 2/26/2023,Shakir Mukhamadullin,x,
Trade NJD/SJS 2/26/2023,Santeri Hatakka,x,
Trade NJD/SJS 2/26/2023,Timo Meier,x,
Trade NJD/SJS 2/26/2023,Fabian Zetterlund,x,
Trade NJD/SJS 2/26/2023,Timur Ibragimov,x,
Trade NJD/SJS 2/26/2023,Nikita Okhotiuk,a,
Trade NJD/SJS 2/26/2023,Scott Harrington,x,
Trade NJD/SJS 2/26/2023,Andreas Johnsson,x,
Trade NJD/SJS 2/26/2023,Ales Cech,x,
Trade NJD/SJS 2/26/2023,Austin Baker,x,
Trade NJD/SJS 2/26/2023,Quentin Musty,x,
Trade NJD/SJS 6/17/2017,Mario Ferraro,a,
Trade NJD/SJS 6/17/2017,Marian Studenic,,
Trade NJD/SJS 6/17/2017,Mirco Mueller,,
Trade NJD/SJS 6/17/2017,Brandon Crawley,,
Trade NJD/SJS 6/22/2019,Alexei Protas,x,
Trade NJD/SJS 6/22/2019,Michael Vukojevic,x,
Trade NJD/SJS 6/22/2019,Dillon Hamaliuk,x,
Trade NJD/SJS 6/27/2023,Mackenzie Blackwood,a,
Trade NJD/SJS 6/27/2023,Cole Brown,a,
Trade NJD/SJS 7/26/2021,Christian Jaros,,
Trade NJD/SJS 7/26/2021,Nick Merkley,x,
Trade NJD/STL 3/22/2013,Niko Mikkola,a,
Trade NJD/STL 3/22/2013,Matt D'Agostini,,
Trade NJD/STL 3/22/2013,Ryan Bednard,,
Trade NJD/TBL 2/16/2020,Blake Coleman,,
Trade NJD/TBL 2/16/2020,Shakir Mukhamadullin,x,
Trade NJD/TBL 2/16/2020,Nolan Foote,a,
Trade NJD/TOR 10/4/2011,David Steckel,x,
Trade NJD/TOR 10/4/2011,Ben Thomson,,
Trade NJD/UTH 6/29/2024,John Marino,a,
Trade NJD/UTH 6/29/2024,Ales Cech,x,
Trade NJD/UTH 6/29/2024,Mikhail Yegorov,a,
Trade NJD/UTH 6/29/2024,Ben Kevan,a,
Trade NJD/VGK 7/29/2019,Lukas Cormier,a,
Trade NJD/VGK 7/29/2019,Nikita Gusev,,
Trade NJD/VGK 7/29/2019,Shai Buium,a,
Trade NJD/WPG 3/8/2024,Colin Miller,a,
